"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpop","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","55283","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","36836","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","16888","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","47963","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","72297","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","42294","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","39077","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","51283","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","0","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","37095","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","48746","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","15394","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","40780","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","17904","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","45558","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","45346","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","3504","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","29812","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","25545","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","21670","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","39896","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","14329","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","3472","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","1261","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","12516","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","23849","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","72762","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","53624","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","47459","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","19492","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","50621","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","56744","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","53076","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","37475","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","44114","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","68178","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","40612","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","33663","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","29861","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85305","AZ","85305","=""85305""","18043","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85306","AZ","85306","=""85306""","24911","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85307","AZ","85307","=""85307""","14223","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85308","AZ","85308","=""85308""","65095","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","960","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","19964","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","458","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85321","AZ","85321","=""85321""","3555","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","476","2020-2024","2020","Census","Arizona (State)"
